{'SQL:  select count(*) from singer\n', 'Question 1:  How many singers do we have ? ||| concert_singer\n'}
{'SQL:  select t2.name ,  count(*) from singer_in_concert as t1 join singer as t2 on t1.singer_id  =  t2.singer_id group by t2.singer_id\n', 'Question 37:  What are the names of the singers and number of concerts for each person ? ||| concert_singer\n'}
{'SQL:  select t2.name from singer_in_concert as t1 join singer as t2 on t1.singer_id  =  t2.singer_id join concert as t3 on t1.concert_id  =  t3.concert_id where t3.year  =  2014\n', 'Question 38:  List all singer names in concerts in year 2014 . ||| concert_singer\n'}
{'Question 39:  What are the names of the singers who performed in a concert in 2014 ? ||| concert_singer\n', 'SQL:  select t2.name from singer_in_concert as t1 join singer as t2 on t1.singer_id  =  t2.singer_id join concert as t3 on t1.concert_id  =  t3.concert_id where t3.year  =  2014\n'}
{"Question 40:  what is the name and nation of the singer who have a song having 'Hey ' in its name ? ||| concert_singer\n", "SQL:  select name ,  country from singer where song_name like '%hey%'\n"}
{"SQL:  select name ,  country from singer where song_name like '%hey%'\n", "Question 41:  What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ? ||| concert_singer\n"}
{'Question 42:  Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 . ||| concert_singer\n', 'SQL:  select t2.name ,  t2.location from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  =  2014 intersect select t2.name ,  t2.location from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  =  2015\n'}
{'SQL:  select t2.name ,  t2.location from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  =  2014 intersect select t2.name ,  t2.location from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  =  2015\n', 'Question 43:  What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015 ? ||| concert_singer\n'}
{'Question 44:  Find the number of concerts happened in the stadium with the highest capacity . ||| concert_singer\n', 'SQL:  select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)\n'}
{'Question 45:  What are the number of concerts that occurred in the stadium with the largest capacity ? ||| concert_singer\n', 'SQL:  select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)\n'}
{'SQL:  select count(*) from pets where weight  >  10\n', 'Question 46:  Find the number of pets whose weight is heavier than 10 . ||| pets_1\n'}
{'SQL:  select count(*) from pets where weight  >  10\n', 'Question 47:  How many pets have a greater weight than 10 ? ||| pets_1\n'}
{'SQL:  select weight from pets order by pet_age limit 1\n', 'Question 48:  Find the weight of the youngest dog . ||| pets_1\n'}
{'SQL:  select weight from pets order by pet_age limit 1\n', 'Question 49:  How much does the youngest dog weigh ? ||| pets_1\n'}
{'Question 50:  Find the maximum weight for each type of pet . List the maximum weight and pet type . ||| pets_1\n', 'SQL:  select max(weight) ,  pettype from pets group by pettype\n'}
{'Question 51:  List the maximum weight and type for each type of pet . ||| pets_1\n', 'SQL:  select max(weight) ,  pettype from pets group by pettype\n'}
{'Question 52:  Find number of pets owned by students who are older than 20 . ||| pets_1\n', 'SQL:  select count(*) from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid where t1.age  >  20\n'}
{'SQL:  select count(*) from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid where t1.age  >  20\n', 'Question 53:  How many pets are owned by students that have an age greater than 20 ? ||| pets_1\n'}
{"SQL:  select count(*) from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t2.petid  =  t3.petid where t1.sex  =  'f' and t3.pettype  =  'dog'\n", 'Question 54:  Find the number of dog pets that are raised by female students ( with sex F ) . ||| pets_1\n'}
{'Question 55:  How many dog pets are raised by female students ? ||| pets_1\n', "SQL:  select count(*) from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t2.petid  =  t3.petid where t1.sex  =  'f' and t3.pettype  =  'dog'\n"}
{'Question 56:  Find the number of distinct type of pets . ||| pets_1\n', 'SQL:  select count(distinct pettype) from pets\n'}
{'Question 57:  How many different types of pet are there ? ||| pets_1\n', 'SQL:  select count(distinct pettype) from pets\n'}
{'Question 58:  Find the first name of students who have cat or dog pet . ||| pets_1\n', "SQL:  select distinct t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' or t3.pettype  =  'dog'\n"}
{'Question 59:  What are the first names of every student who has a cat or dog as a pet ? ||| pets_1\n', "SQL:  select distinct t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' or t3.pettype  =  'dog'\n"}
{"SQL:  select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog'\n", 'Question 60:  Find the first name of students who have both cat and dog pets . ||| pets_1\n'}
{"SQL:  select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog'\n", "Question 61:  What are the students ' first names who have both cats and dogs as pets ? ||| pets_1\n"}
{'Question 62:  Find the major and age of students who do not have a cat pet . ||| pets_1\n', "SQL:  select major ,  age from student where stuid not in (select t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat')\n"}
{'Question 63:  What major is every student who does not own a cat as a pet , and also how old are they ? ||| pets_1\n', "SQL:  select major ,  age from student where stuid not in (select t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat')\n"}
{'Question 64:  Find the id of students who do not have a cat pet . ||| pets_1\n', "SQL:  select stuid from student except select t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat'\n"}
{"SQL:  select stuid from student except select t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat'\n", 'Question 65:  What are the ids of the students who do not own cats as pets ? ||| pets_1\n'}
{"SQL:  select t1.fname ,  t1.age from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog' and t1.stuid not in (select t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat')\n", 'Question 66:  Find the first name and age of students who have a dog but do not have a cat as a pet . ||| pets_1\n'}
{'Question 67:  What is the first name of every student who has a dog but does not have a cat ? ||| pets_1\n', "SQL:  select t1.fname ,  t1.age from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog' and t1.stuid not in (select t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat')\n"}
{'SQL:  select pettype ,  weight from pets order by pet_age limit 1\n', 'Question 68:  Find the type and weight of the youngest pet . ||| pets_1\n'}
{'SQL:  select pettype ,  weight from pets order by pet_age limit 1\n', 'Question 69:  What type of pet is the youngest animal , and how much does it weigh ? ||| pets_1\n'}
{'SQL:  select petid ,  weight from pets where pet_age  >  1\n', 'Question 70:  Find the id and weight of all pets whose age is older than 1 . ||| pets_1\n'}
{'SQL:  select petid ,  weight from pets where pet_age  >  1\n', 'Question 71:  What is the id and weight of every pet who is older than 1 ? ||| pets_1\n'}
{'Question 72:  Find the average and maximum age for each type of pet . ||| pets_1\n', 'SQL:  select avg(pet_age) ,  max(pet_age) ,  pettype from pets group by pettype\n'}
{'SQL:  select avg(pet_age) ,  max(pet_age) ,  pettype from pets group by pettype\n', 'Question 73:  What is the average and maximum age for each pet type ? ||| pets_1\n'}
{'Question 74:  Find the average weight for each pet type . ||| pets_1\n', 'SQL:  select avg(weight) ,  pettype from pets group by pettype\n'}
{'Question 75:  What is the average weight for each type of pet ? ||| pets_1\n', 'SQL:  select avg(weight) ,  pettype from pets group by pettype\n'}
{'Question 76:  Find the first name and age of students who have a pet . ||| pets_1\n', 'SQL:  select distinct t1.fname ,  t1.age from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid\n'}
{'Question 77:  What are the different first names and ages of the students who do have pets ? ||| pets_1\n', 'SQL:  select distinct t1.fname ,  t1.age from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid\n'}
{"SQL:  select t2.petid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid where t1.lname  =  'smith'\n", 'Question 78:  Find the id of the pet owned by student whose last name is ‘Smith’ . ||| pets_1\n'}
{"SQL:  select t2.petid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid where t1.lname  =  'smith'\n", "Question 79:  What is the id of the pet owned by the student whose last name is 'Smith ' ? ||| pets_1\n"}
{'Question 80:  Find the number of pets for each student who has any pet and student id . ||| pets_1\n', 'SQL:  select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid\n'}
{'Question 81:  For students who have pets , how many pets does each student have ? list their ids instead of names . ||| pets_1\n', 'SQL:  select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid\n'}
{'SQL:  select t1.fname ,  t1.sex from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid having count(*)  >  1\n', 'Question 82:  Find the first name and gender of student who have more than one pet . ||| pets_1\n'}
{'SQL:  select t1.fname ,  t1.sex from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by students.stuid having count(*)  >  1\n', 'Question 83:  What is the first name and gender of the all the students who have more than one pet ? ||| pets_1\n'}
{'Question 84:  Find the last name of the student who has a cat that is age 3 . ||| pets_1\n', "SQL:  select t1.lname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pet_age  =  3 and t3.pettype  =  'cat'\n"}
{'Question 85:  What is the last name of the student who has a cat that is 3 years old ? ||| pets_1\n', "SQL:  select t1.lname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pet_age  =  3 and t3.pettype  =  'cat'\n"}
{'Question 86:  Find the average age of students who do not have any pet . ||| pets_1\n', 'SQL:  select avg(age) from student where stuid not in (select stuid from has_pet)\n'}
{'SQL:  select avg(age) from student where stuid not in (select stuid from has_pet)\n', 'Question 87:  What is the average age for all students who do not own any pets ? ||| pets_1\n'}
{'Question 88:  How many continents are there ? ||| car_1\n', 'SQL:  select count(*) from continents;\n'}
{'Question 89:  What is the number of continents ? ||| car_1\n', 'SQL:  select count(*) from continents;\n'}
{'SQL:  select t1.contid ,  t1.continent ,  count(*) from continents as t1 join countries as t2 on t1.contid  =  t2.continent group by t1.contid;\n', 'Question 90:  How many countries does each continent have ? List the continent id , continent name and the number of countries . ||| car_1\n'}
{'Question 91:  For each continent , list its id , name , and how many countries it has ? ||| car_1\n', 'SQL:  select t1.contid ,  t1.continent ,  count(*) from continents as t1 join countries as t2 on t1.contid  =  t2.continent group by t1.contid;\n'}
{'Question 92:  How many countries are listed ? ||| car_1\n', 'SQL:  select count(*) from countries;\n'}
{'Question 93:  How many countries exist ? ||| car_1\n', 'SQL:  select count(*) from countries;\n'}
{'Question 94:  How many models does each car maker produce ? List maker full name , id and the number . ||| car_1\n', 'SQL:  select t1.fullname ,  t1.id ,  count(*) from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id;\n'}
{'Question 95:  What is the full name of each car maker , along with its id and how many models it produces ? ||| car_1\n', 'SQL:  select t1.fullname ,  t1.id ,  count(*) from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id;\n'}
{'Question 96:  Which model of the car has the minimum horsepower ? ||| car_1\n', 'SQL:  select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.horsepower asc limit 1;\n'}
{'SQL:  select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.horsepower asc limit 1;\n', 'Question 97:  What is the model of the car with the smallest amount of horsepower ? ||| car_1\n'}
{'Question 98:  Find the model of the car whose weight is below the average weight . ||| car_1\n', 'SQL:  select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t2.weight  <  (select avg(weight) from cars_data)\n'}
{'Question 99:  What is the model for the car with a weight smaller than the average ? ||| car_1\n', 'SQL:  select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t2.weight  <  (select avg(weight) from cars_data)\n'}
{'Question 100:  Find the name of the makers that produced some cars in the year of 1970 ? ||| car_1\n', "SQL:  select distinct t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model join cars_data as t4 on t3.makeid  =  t4.id where t4.year  =  '1970';\n"}
{"SQL:  select distinct t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model join cars_data as t4 on t3.makeid  =  t4.id where t4.year  =  '1970';\n", 'Question 101:  What is the name of the different car makers who produced a car in 1970 ? ||| car_1\n'}
{'Question 102:  Find the make and production time of the cars that were produced in the earliest year ? ||| car_1\n', 'SQL:  select t2.make ,  t1.year from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.year  =  (select min(year) from cars_data);\n'}
{'Question 103:  What is the maker of the carr produced in the earliest year and what year was it ? ||| car_1\n', 'SQL:  select t2.make ,  t1.year from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.year  =  (select min(year) from cars_data);\n'}
{'Question 104:  Which distinct car models are the produced after 1980 ? ||| car_1\n', 'SQL:  select distinct t1.model from model_list as t1 join car_names as t2 on t1.model  =  t2.model join cars_data as t3 on t2.makeid  =  t3.id where t3.year  >  1980;\n'}
{'SQL:  select distinct t1.model from model_list as t1 join car_names as t2 on t1.model  =  t2.model join cars_data as t3 on t2.makeid  =  t3.id where t3.year  >  1980;\n', 'Question 105:  What are the different models for the cards produced after 1980 ? ||| car_1\n'}
{'Question 106:  How many car makers are there in each continents ? List the continent name and the count . ||| car_1\n', 'SQL:  select t1.continent ,  count(*) from continents as t1 join countries as t2 on t1.contid  =  t2.continent join car_makers as t3 on t2.countryid  =  t3.country group by t1.continent;\n'}
{'Question 107:  What is the name of each continent and how many car makers are there in each one ? ||| car_1\n', 'SQL:  select t1.continent ,  count(*) from continents as t1 join countries as t2 on t1.contid  =  t2.continent join car_makers as t3 on t2.countryid  =  t3.country group by t1.continent;\n'}
{'Question 108:  Which of the countries has the most car makers ? List the country name . ||| car_1\n', 'SQL:  select t2.countryname from car_makers as t1 join countries as t2 on t1.country  =  t2.countryid group by t1.country order by count(*) desc limit 1;\n'}
{'SQL:  select t2.countryname from car_makers as t1 join countries as t2 on t1.country  =  t2.countryid group by t1.country order by count(*) desc limit 1;\n', 'Question 109:  What is the name of the country with the most car makers ? ||| car_1\n'}
{'Question 110:  How many car models are produced by each maker ? Only list the count and the maker full name . ||| car_1\n', 'SQL:  select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;\n'}
{'Question 111:  What is the number of car models that are produced by each maker and what is the id and full name of each maker ? ||| car_1\n', 'SQL:  select count(*) ,  t2.fullname ,  t2.id from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;\n'}
{'Question 112:  What is the accelerate of the car make amc hornet sportabout ( sw ) ? ||| car_1\n', "SQL:  select t1.accelerate from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t2.make  =  'amc hornet sportabout (sw)';\n"}
{'Question 113:  How much does the car accelerate that makes amc hornet sportabout ( sw ) ? ||| car_1\n', "SQL:  select t1.accelerate from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t2.make  =  'amc hornet sportabout (sw)';\n"}
{"SQL:  select count(*) from car_makers as t1 join countries as t2 on t1.country  =  t2.countryid where t2.countryname  =  'france';\n", 'Question 114:  How many car makers are there in france ? ||| car_1\n'}
{"SQL:  select count(*) from car_makers as t1 join countries as t2 on t1.country  =  t2.countryid where t2.countryname  =  'france';\n", 'Question 115:  What is the number of makers of care in France ? ||| car_1\n'}
{"SQL:  select count(*) from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id join countries as t3 on t2.country  =  t3.countryid where t3.countryname  =  'usa';\n", 'Question 116:  How many car models are produced in the usa ? ||| car_1\n'}
{"SQL:  select count(*) from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id join countries as t3 on t2.country  =  t3.countryid where t3.countryname  =  'usa';\n", 'Question 117:  What is the count of the car models produced in the United States ? ||| car_1\n'}
{'Question 118:  What is the average miles per gallon ( mpg ) of the cars with 4 cylinders ? ||| car_1\n', 'SQL:  select avg(mpg) from cars_data where cylinders  =  4;\n'}
{'SQL:  select avg(mpg) from cars_data where cylinders  =  4;\n', 'Question 119:  What is the average miles per gallon of all the cards with 4 cylinders ? ||| car_1\n'}
{'SQL:  select min(weight) from cars_data where cylinders  =  8 and year  =  1974\n', 'Question 120:  What is the smallest weight of the car produced with 8 cylinders on 1974 ? ||| car_1\n'}
{'Question 121:  What is the minimum weight of the car with 8 cylinders produced in 1974 ? ||| car_1\n', 'SQL:  select min(weight) from cars_data where cylinders  =  8 and year  =  1974\n'}
{'Question 122:  What are all the makers and models ? ||| car_1\n', 'SQL:  select maker ,  model from model_list;\n'}
{'Question 123:  What are the makers and models ? ||| car_1\n', 'SQL:  select maker ,  model from model_list;\n'}
{'Question 124:  What are the countries having at least one car maker ? List name and id . ||| car_1\n', 'SQL:  select t1.countryname ,  t1.countryid from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >=  1;\n'}
{'SQL:  select t1.countryname ,  t1.countryid from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >=  1;\n', 'Question 125:  What are the names and ids of all countries with at least one car maker ? ||| car_1\n'}
{'SQL:  select count(*) from cars_data where horsepower  >  150;\n', 'Question 126:  What is the number of the cars with horsepower more than 150 ? ||| car_1\n'}
{'SQL:  select count(*) from cars_data where horsepower  >  150;\n', 'Question 127:  What is the number of cars with a horsepower greater than 150 ? ||| car_1\n'}
{'Question 128:  What is the average weight of cars each year ? ||| car_1\n', 'SQL:  select avg(weight) ,  year from cars_data group by year;\n'}
{'SQL:  select avg(weight) ,  year from cars_data group by year;\n', 'Question 129:  What is the average weight and year for each year ? ||| car_1\n'}
{"SQL:  select t1.countryname from countries as t1 join continents as t2 on t1.continent  =  t2.contid join car_makers as t3 on t1.countryid  =  t3.country where t2.continent  =  'europe' group by t1.countryname having count(*)  >=  3;\n", 'Question 130:  Which countries in europe have at least 3 car manufacturers ? ||| car_1\n'}
{'Question 131:  What are the names of all European countries with at least 3 manufacturers ? ||| car_1\n', "SQL:  select t1.countryname from countries as t1 join continents as t2 on t1.continent  =  t2.contid join car_makers as t3 on t1.countryid  =  t3.country where t2.continent  =  'europe' group by t1.countryname having count(*)  >=  3;\n"}
{'Question 132:  What is the maximum horsepower and the make of the car models with 3 cylinders ? ||| car_1\n', 'SQL:  select t2.horsepower ,  t1.make from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t2.cylinders  =  3 order by t2.horsepower desc limit 1;\n'}
{'SQL:  select t2.horsepower ,  t1.make from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t2.cylinders  =  3 order by t2.horsepower desc limit 1;\n', 'Question 133:  What is the largest amount of horsepower for the models with 3 cylinders and what make is it ? ||| car_1\n'}
{'SQL:  select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.mpg desc limit 1;\n', 'Question 134:  Which model saves the most gasoline ? That is to say , have the maximum miles per gallon . ||| car_1\n'}
{'Question 135:  What is the car model with the highest mpg ? ||| car_1\n', 'SQL:  select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.mpg desc limit 1;\n'}
{'Question 136:  What is the average horsepower of the cars before 1980 ? ||| car_1\n', 'SQL:  select avg(horsepower) from cars_data where year  <  1980;\n'}
{'SQL:  select avg(horsepower) from cars_data where year  <  1980;\n', 'Question 137:  What is the average horsepower for all cars produced before 1980 ? ||| car_1\n'}
{"SQL:  select avg(t2.edispl) from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t1.model  =  'volvo';\n", 'Question 138:  What is the average edispl of the cars of model volvo ? ||| car_1\n'}
{"SQL:  select avg(t2.edispl) from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t1.model  =  'volvo';\n", 'Question 139:  What is the average edispl for all volvos ? ||| car_1\n'}
{'SQL:  select max(accelerate) ,  cylinders from cars_data group by cylinders;\n', 'Question 140:  What is the maximum accelerate for different number of cylinders ? ||| car_1\n'}
{'SQL:  select max(accelerate) ,  cylinders from cars_data group by cylinders;\n', 'Question 141:  What is the maximum accelerate for all the different cylinders ? ||| car_1\n'}
{'SQL:  select model from car_names group by model order by count(*) desc limit 1;\n', 'Question 142:  Which model has the most version ( make ) of cars ? ||| car_1\n'}
{'Question 143:  What model has the most different versions ? ||| car_1\n', 'SQL:  select model from car_names group by model order by count(*) desc limit 1;\n'}
{'SQL:  select count(*) from cars_data where cylinders  >  4;\n', 'Question 144:  How many cars have more than 4 cylinders ? ||| car_1\n'}
{'SQL:  select count(*) from cars_data where cylinders  >  4;\n', 'Question 145:  What is the number of cars with more than 4 cylinders ? ||| car_1\n'}
